observable,sintetico,base,PROV,timestamp,RADIO_REF_ID,DPTO,valor,frac
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6019,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6020,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6021,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6022,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6023,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6024,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6025,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6026,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6027,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6028,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6029,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6030,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6031,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6032,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6033,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6034,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6035,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6036,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6037,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6038,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6039,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6040,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6041,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6042,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6043,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6044,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6045,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6046,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6047,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6048,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6049,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6050,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6051,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6052,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6053,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6054,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6055,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6056,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6057,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6058,6408,1.0,0.2
