Q,Region,CBA,CBT
2009-02-15,pampeana,1366.315052509059,3329.35847026032
2009-02-15,patagonia,1422.6012923988649,3936.0183438954864
2009-05-15,cuyo,1227.5482336429511,3185.2961808902214
2009-05-15,gran_buenos_aires,1378.7006946860658,3360.294046579583
2009-05-15,noreste,1232.3134666835895,2812.3086586179656
2009-05-15,noroeste,1197.6260682116501,2709.2776619254287
2009-05-15,pampeana,1366.315052509059,3329.35847026032
2009-05-15,patagonia,1422.6012923988649,3936.0183438954864
2009-08-15,cuyo,1227.5482336429511,3185.2961808902214
2009-08-15,gran_buenos_aires,1378.7006946860658,3360.294046579583
2009-08-15,noreste,1232.3134666835895,2812.3086586179656
2009-08-15,noroeste,1197.6260682116501,2709.2776619254287
2009-08-15,pampeana,1366.315052509059,3329.35847026032
2009-08-15,patagonia,1422.6012923988649,3936.0183438954864
2009-11-15,cuyo,1227.5482336429511,3185.2961808902214
2009-11-15,gran_buenos_aires,1378.7006946860658,3360.294046579583
2009-11-15,noreste,1232.3134666835895,2812.3086586179656
2009-11-15,noroeste,1197.6260682116501,2709.2776619254287
2009-11-15,pampeana,1366.315052509059,3329.35847026032
2009-11-15,patagonia,1422.6012923988649,3936.0183438954864
2010-02-15,cuyo,1227.5482336429511,3185.2961808902214
2010-02-15,gran_buenos_aires,1378.7006946860658,3360.294046579583
2010-02-15,noreste,1232.3134666835895,2812.3086586179656
2010-02-15,noroeste,1197.6260682116501,2709.2776619254287
2010-02-15,pampeana,1366.315052509059,3329.35847026032
2010-02-15,patagonia,1422.6012923988649,3936.0183438954864
2010-05-15,cuyo,1227.5482336429511,3185.2961808902214
2010-05-15,gran_buenos_aires,1378.7006946860658,3360.294046579583
2010-05-15,noreste,1232.3134666835895,2812.3086586179656
2010-05-15,noroeste,1197.6260682116501,2709.2776619254287
2010-05-15,pampeana,1366.315052509059,3329.35847026032
2010-05-15,patagonia,1422.6012923988649,3936.0183438954864
2010-08-15,cuyo,1227.5482336429511,3185.2961808902214
2010-08-15,gran_buenos_aires,1378.7006946860658,3360.294046579583
2010-08-15,noreste,1232.3134666835895,2812.3086586179656
2010-08-15,noroeste,1197.6260682116501,2709.2776619254287
2010-08-15,pampeana,1366.315052509059,3329.35847026032
2010-08-15,patagonia,1422.6012923988649,3936.0183438954864
2010-11-15,cuyo,1227.5482336429511,3185.2961808902214
2010-11-15,gran_buenos_aires,1378.7006946860658,3360.294046579583
2010-11-15,noreste,1232.3134666835895,2812.3086586179656
2010-11-15,noroeste,1197.6260682116501,2709.2776619254287
2010-11-15,pampeana,1366.315052509059,3329.35847026032
2010-11-15,patagonia,1422.6012923988649,3936.0183438954864
2011-02-15,cuyo,1227.5482336429511,3185.2961808902214
2011-02-15,gran_buenos_aires,1378.7006946860658,3360.294046579583
2011-02-15,noreste,1232.3134666835895,2812.3086586179656
2011-02-15,noroeste,1197.6260682116501,2709.2776619254287
2011-02-15,pampeana,1366.315052509059,3329.35847026032
2011-02-15,patagonia,1422.6012923988649,3936.0183438954864
2011-05-15,cuyo,1227.5482336429511,3185.2961808902214
2011-05-15,gran_buenos_aires,1378.7006946860658,3360.294046579583
2011-05-15,noreste,1232.3134666835895,2812.3086586179656
2011-05-15,noroeste,1197.6260682116501,2709.2776619254287
2011-05-15,pampeana,1366.315052509059,3329.35847026032
2011-05-15,patagonia,1422.6012923988649,3936.0183438954864
2011-08-15,cuyo,1227.5482336429511,3185.2961808902214
